Marca temporal,Nombre y Apellido del fallecido,Fecha de fallecimiento,DNI,Edad al fallecer,Sexo,Hora de fallecimiento,Causa de fallecimiento,Causa detallada (si es 'Otro'),Lugar de fallecimiento,Ubicación en el cementerio,Tipo de sepultura,Número de acta / registro,Nombre del responsable que registra,DNI del responsable que registra,Correo electrónico del responsable,Otros aportes o comentarios,Año de fallecimiento,Mes de fallecimiento,Rango edad,Día de la semana
1995-05-26 21:48:20.425955,Isaías Barrena Sánchez,1995-05-26,30532462,17,Otro,19:25,Accidente,,Vía Pública,"Sección 4, Fila 15, Parcela 7",Tumba tradicional,895221,Estrella de Ordóñez,20451509,natividad16@example.net,Se coordinó con la empresa funeraria local.,1995,5,Adolescente,Friday
1995-08-05 12:11:00.535963,Gastón Benet-Rosselló,1995-08-05,50710184,78,Masculino,13:24,Infarto,,Domicilio,"Sección 7, Fila 20, Parcela 20",Mausoleo,332174,Margarita Iglesia Baena,20130845,rpinilla@example.org,Pendiente entrega de certificado de defunción original.,1995,8,Adulto mayor,Saturday
1995-04-18 07:52:59.518460,Fito Raya Ribas,1995-04-18,80857595,51,Otro,19:00,Accidente,,Clínica Privada,"Sección 2, Fila 19, Parcela 7",Cremación,969013,Demetrio Fernandez Bas,16185712,diezcelestina@example.org,Documento entregado en oficina central.,1995,4,Adulto,Tuesday
1995-01-16 04:30:03.331239,Elisabet Sacristán Mata,1995-01-16,98469906,76,Otro,16:28,Covid-19,,Hospital Central,"Sección 6, Fila 7, Parcela 6",Tumba tradicional,480510,Ildefonso Mata-Español,38186184,placidoredondo@example.org,Se notificó al registro civil.,1995,1,Adulto mayor,Monday
1995-01-23 21:06:07.407309,Pío Torre Royo,1995-01-23,52374906,70,Femenino,7:03,Neumonía,,Vía Pública,"Sección 7, Fila 15, Parcela 25",Nicho,540582,Jose Antonio Fuente-Pérez,40982404,teodosio08@example.com,Acta firmada por dos testigos.,1995,1,Adulto mayor,Monday
1995-09-01 17:45:04.718624,María Dolores Mendizábal Bou,1995-09-01,30707840,93,Femenino,2:57,Neumonía,,Hospital Central,"Sección 7, Fila 12, Parcela 37",Mausoleo,598080,Estrella de Ordóñez,15578067,secoolimpia@example.org,Acta firmada por dos testigos.,1995,9,Adulto mayor,Friday
1995-10-06 15:08:13.609226,Perlita Carlos Madrid,1995-10-06,25729655,75,Femenino,7:18,Cáncer,,Hospital Central,"Sección 9, Fila 15, Parcela 35",Mausoleo,632983,Mario Vilaplana Haro,37764271,emilia53@example.net,La familia pidió sepultura junto a otros parientes.,1995,10,Adulto mayor,Friday
1995-03-01 22:07:47.982699,Toni Piquer Cañete,1995-03-01,92290069,76,Masculino,21:51,Infarto,,Domicilio,"Sección 6, Fila 3, Parcela 44",Mausoleo,516787,Demetrio Fernandez Bas,35446104,chavesjosep@example.net,La familia pidió sepultura junto a otros parientes.,1995,3,Adulto mayor,Wednesday
1995-01-18 08:03:18.489841,Rico Giralt-Font,1995-01-18,37035043,71,Otro,22:00,Covid-19,,Clínica Privada,"Sección 10, Fila 10, Parcela 7",Nicho,674741,Isabela Pellicer Corominas,32226027,marcobelda@example.com,La familia pidió sepultura junto a otros parientes.,1995,1,Adulto mayor,Wednesday
1995-10-17 11:33:30.296481,Débora Iñiguez Acuña,1995-10-17,31495725,61,Masculino,8:53,Accidente,,Vía Pública,"Sección 1, Fila 20, Parcela 34",Tumba tradicional,352511,Oriana Carvajal Solsona,49010823,luisinaabella@example.org,Pendiente entrega de certificado de defunción original.,1995,10,Adulto mayor,Tuesday
1995-01-13 07:34:00.841126,Roque Sergio Ropero Jiménez,1995-01-13,78312988,44,Femenino,22:49,Accidente,,Domicilio,"Sección 7, Fila 14, Parcela 15",Cremación,920024,Margarita Iglesia Baena,42771137,eloisacrespi@example.net,La familia pidió servicio religioso antes de la cremación.,1995,1,Adulto,Friday
1995-11-08 21:08:56.606344,Celestino Revilla-Barrera,1995-11-08,58407102,14,Otro,15:05,Covid-19,,Clínica Privada,"Sección 4, Fila 2, Parcela 40",Cremación,630792,Mario Vilaplana Haro,26144605,suarezclotilde@example.org,Se notificó al registro civil.,1995,11,Adolescente,Wednesday
1995-12-27 08:45:49.718223,Paulino Lluch,1995-12-27,93506730,1,Femenino,14:21,Accidente,,Clínica Privada,"Sección 3, Fila 11, Parcela 8",Tumba tradicional,597003,Demetrio Fernandez Bas,41586567,piquerbienvenida@example.com,Acta firmada por dos testigos.,1995,12,Niño,Wednesday
1995-09-05 22:47:47.280346,Edmundo Hervia,1995-09-05,29618053,31,Femenino,4:17,Accidente,,Domicilio,"Sección 4, Fila 8, Parcela 44",Tumba tradicional,282449,Herminio Bernad,39249250,elvira29@example.org,Familia solicita ceremonia sencilla.,1995,9,Adulto,Tuesday
1995-09-13 15:37:37.281907,José Ángel Madrigal Tejera,1995-09-13,24347983,29,Otro,16:31,Covid-19,,Hospital Central,"Sección 9, Fila 7, Parcela 45",Tumba tradicional,256913,Daniela de Prat,47664488,gertrudissotelo@example.net,Pendiente entrega de certificado de defunción original.,1995,9,Joven,Wednesday
1995-06-15 05:20:30.953221,Íñigo Blazquez Arjona,1995-06-15,53071416,74,Masculino,10:41,Covid-19,,Hospital Central,"Sección 10, Fila 19, Parcela 3",Tumba tradicional,414730,Mario Vilaplana Haro,24753841,mdieguez@example.com,Familia solicita ceremonia sencilla.,1995,6,Adulto mayor,Thursday
1995-08-29 07:34:54.729357,Santiago Alfonso Rodriguez Infante,1995-08-29,65525161,86,Otro,13:23,Infarto,,Hospital Central,"Sección 6, Fila 19, Parcela 6",Nicho,686731,Margarita Iglesia Baena,45379424,qosuna@example.com,Se pidió mantener la causa de fallecimiento en reserva.,1995,8,Adulto mayor,Tuesday
1995-08-12 05:10:08.178703,Nico Anaya,1995-08-12,73702504,42,Otro,21:38,Cáncer,,Vía Pública,"Sección 6, Fila 18, Parcela 12",Tumba tradicional,660954,Constanza Oliveras Chaves,30081236,cruzinfante@example.org,Acta firmada por dos testigos.,1995,8,Adulto,Saturday
1995-12-22 04:16:28.432825,Diana Zamorano,1995-12-22,23403047,5,Masculino,16:19,Accidente,,Hospital Central,"Sección 1, Fila 16, Parcela 16",Mausoleo,487563,Constanza Oliveras Chaves,38015532,vcerda@example.com,Se coordinó con la empresa funeraria local.,1995,12,Niño,Friday
1995-06-28 07:43:23.159847,Azahara Claudia Abril Colomer,1995-06-28,99083013,50,Otro,14:58,Infarto,,Clínica Privada,"Sección 4, Fila 19, Parcela 42",Nicho,718128,Estrella de Ordóñez,48299232,amor09@example.com,Documento entregado en oficina central.,1995,6,Adulto,Wednesday
1995-06-14 14:11:47.459671,Omar Hervia Murcia,1995-06-14,10702866,39,Otro,11:55,Accidente,,Clínica Privada,"Sección 4, Fila 16, Parcela 23",Nicho,890129,Miguel Ángel Aragón Pacheco,21362545,maribel34@example.net,Se coordinó con la empresa funeraria local.,1995,6,Adulto,Wednesday
1995-01-04 23:49:43.716866,Berta Cabello,1995-01-04,39482589,13,Femenino,20:37,Neumonía,,Clínica Privada,"Sección 4, Fila 9, Parcela 22",Cremación,293620,Daniela de Prat,36569299,qalmeida@example.net,Documento entregado en oficina central.,1995,1,Adolescente,Wednesday
1995-12-16 10:36:51.753460,Cayetana Dalmau Checa,1995-12-16,59775146,86,Masculino,17:25,Accidente,,Clínica Privada,"Sección 3, Fila 5, Parcela 44",Cremación,788815,Daniela de Prat,46880141,pgomila@example.org,Se pidió mantener la causa de fallecimiento en reserva.,1995,12,Adulto mayor,Saturday
